Plate	Well	GeneID	Entrez_gene_ID
1	L14	FLJ23356	84197
1	L15	PIK3C2G	5288
1	L16	PDK3	5165
1	L17	CDK4	1019
1	L18	DGKA	1606
1	L19	PIM1	5292
1	L20	C9ORF12	64768
1	L21	DGKQ	1609
1	L22	PTK6	5753
1	L23		
1	L24		
1	M01		
1	M02		
1	M03	ATM	472
1	M04	PRKCL1	5585
1	M05	PHKA2	5256
1	M06	RIPK2	8767
1	M07	MULK	55750
1	M08	CKMT1B	1159
1	M09	GRK6	2870
1	M10	MKNK2	2872
1	M11	BMPR1B	658
1	M12	TNNI3K	51086
1	M13	STK33	65975
1	M14	ALS2CR7	65061
1	M15	MIDORI	57538
1	M16	HCK	3055
1	M17	RNASEL	6041
1	M18	CKS1B	1163
1	M19	STK16	8576
1	M20	BMP2K	55589
1	M21	GRK1	6011
1	M22	PHKB	5257
1	M23		
1	M24		
1	N01		
1	N02		
1	N03	MAP3K12	7786
1	N04	PAK1	5058
1	N05	STK22C	81629
1	N06	RYK	6259
1	N07	PI4KII	55361
1	N08	PDXK	8566
1	N09	TAF1L	138474
1	N10	NEK8	284086
1	N11	CAMK1G	57172
1	N12	GK	2710
1	N13	HSMDPKIN	55561
1	N14	KSR2	283455
1	N15	STK10	6793
1	N16	PRKAR1A	5573
1	N17	AIP1	9863
1	N18	NUP62	23636
1	N19	ABL1	25
1	N20	ROR2	4920
1	N21	PAK6	56924
1	N22	PIP5K2C	79837
1	N23		
1	N24		
1	O01		
1	O02		
1	O03	RFP	5987
1	O04	TRIO	7204
1	O05	PIP5KL1	138429
1	O06	ETNK1	55500
1	O07	NEK5	341676
1	O08	ERK8	225689
1	O09	PLK2	10769
1	O10	ADP-GK	83440
1	O11	CSNK1G2	1455
1	O12	PIK3CG	5294
1	O13	MARK2	2011
1	O14	FGFR3	2261
1	O15	TNIK	23043
1	O16	IRAK4	51135
1	O17	CALM3	808
1	O18	PCTK3	5129
1	O19	PKM2	5315
1	O20	SGK2	10110
1	O21	CDKL5	6792
1	O22	DYRK4	8798
1	O23		
1	O24		
1	P01		
1	P02		
1	P03	FN3KRP	79672
1	P04	ACVR1	90
1	P05	AKT2	208
1	P06	PRKACB	5567
1	P07	KIAA0999	23387
1	P08	STK39	27347
1	P09	PLK4	10733
1	P10	MATK	4145
1	P11	HIPK3	10114
1	P12	RPS6KB1	6198
1	P13	TYRO3	7301
1	P14	RFK	55312
1	P15	MAPK3	5595
1	P16	TTBK2	146057
1	P17	YES1	7525
1	P18	CDC42BPA	8476
1	P19	NYD-SP25	89882
1	P20	GSG2	83903
1	P21	CDADC1	81602
1	P22	HIPK1	204851
1	P23		
1	P24		
2	A01		
2	A02		
2	A03	MAP3K11	4296
2	A04	MAP2K4	6416
2	A05	AURKB	9212
2	A06	FLJ13052	65220
2	A07	LIMK2	3985
2	A08	TLK2	11011
2	A09	GRK4	2868
2	A10	TJP2	9414
2	A11	LOC340156	340156
2	A12	ADCK5	203054
2	A13	PRKX	5613
2	A14	MAPK11	5600
2	A15	GNE	10020
2	A16	PGK2	5232
2	A17	PRKAR1B	5575
2	A18	BUB1B	701
2	A19	MVK	4598
2	A20	MAP2K5	5607
2	A21	PKIB	5570
2	A22	LAK	80216
2	A23		
2	A24		
2	B01		
2	B02		
2	B03	RET	5979
2	B04	MELK	9833
2	B05	MAP2K6	5608
2	B06	PRKCH	5583
2	B07	RPS6KC1	26750
2	B08	PAK3	5063
2	B09	NME7	29922
2	B10	PFKFB1	5207
2	B11	MAP3K10	4294
2	B12	INSRR	3645
2	B13	UCK1	83549
2	B14	DLG2	1740
2	B15	FGFR2	2263
2	B16	PIP5K3	200576
2	B17	ERBB3	2065
2	B18	BMPR1A	657
2	B19	NEK3	4752
2	B20	PRPS1L1	221823
2	B21	COL4A3BP	10087
2	B22	IGF2R	3482
2	B23		
2	B24		
2	C01		
2	C02		
2	C03	CDK5	1020
2	C04	CDK7	1022
2	C05	ADCK4	79934
2	C06	LRRK1	79705
2	C07	HRI	27102
2	C08	FLJ25006	124923
2	C09	MAPKAPK3	7867
2	C10	MAPK14	1432
2	C11	ACVR2B	93
2	C12	TBK1	29110
2	C13	EGFR	1956
2	C14	ERN2	10595
2	C15	ROS1	6098
2	C16	PRKCI	5584
2	C17	HK3	3101
2	C18	IKBKE	9641
2	C19	DDR2	4921
2	C20	CSNK1A1L	122011
2	C21	DAPK2	23604
2	C22	PIP5K1A	8394
2	C23		
2	C24		
2	D01		
2	D02		
2	D03	CDC2L5	8621
2	D04	TGFBR3	7049
2	D05	ALK	238
2	D06	UMP-CMPK	51727
2	D07	SPEG	10290
2	D08	CHKA	1119
2	D09	TP53RK	112858
2	D10	WNK4	65266
2	D11	EFNA5	1946
2	D12	RPS6KA1	6195
2	D13	MAPK13	5603
2	D14	IHPK3	117283
2	D15	TRIB2	28951
2	D16	BMX	660
2	D17	DGKH	160851
2	D18	CLK4	57396
2	D19	FRK	2444
2	D20	PAK2	5062
2	D21	PIK3CB	5291
2	D22	LOC390226	390226
2	D23		
2	D24		
2	E01		
2	E02		
2	E03	ITPK1	3705
2	E04	STK17A	9263
2	E05	ILK-2	55522
2	E06	TEX14	56155
2	E07	EPHA2	1969
2	E08	MAPKAPK2	9261
2	E09	PHKG1	5260
2	E10	LTK	4058
2	E11	FUK	197258
2	E12	CASK	8573
2	E13	AK3	205
2	E14	DYRK1B	9149
2	E15	CSNK2A2	1459
2	E16	SBK1	388228
2	E17	VRK2	7444
2	E18	PCTK1	5127
2	E19	KALRN	8997
2	E20	MAP3K4	4216
2	E21	ARAF1	369
2	E22	STK38L	23012
2	E23		
2	E24		
2	F01		
2	F02		
2	F03	KCNH2	3757
2	F04	CSNK1A1	1452
2	F05	CDKL1	8814
2	F06	NME2	4831
2	F07	NTRK2	4915
2	F08	MAK	4117
2	F09	AATK	9625
2	F10	PIK3CD	5293
2	F11	PRKCG	5582
2	F12	MAP3K6	9064
2	F13	STK38	11329
2	F14	BRDT	676
2	F15	PMVK	10654
2	F16	EIF2AK4	440275
2	F17	EPHA1	2041
2	F18	NME6	10201
2	F19	RAF1	5894
2	F20	DYRK1A	1859
2	F21	PRKCSH	5589
2	F22	CAMK4	814
2	F23		
2	F24		
2	G01		
2	G02		
2	G03	BCR	613
2	G04	MGC4796	83931
2	G05	DCK	1633
2	G06	PKIA	5569
2	G07	MGC16169	93627
2	G08	RBKS	64080
2	G09	STK22D	83942
2	G10	PHKA1	5255
2	G11	SRP72	6731
2	G12	ERN1	2081
2	G13	DGKI	9162
2	G14	STYK1	55359
2	G15	CSK	1445
2	G16	ARK5	9891
2	G17	IKBKAP	8518
2	G18	PIP5K1B	8395
2	G19	ADRBK2	157
2	G20	DGUOK	1716
2	G21	ICK	22858
2	G22	PANK3	79646
2	G23		
2	G24		
2	H01		
2	H02		
2	H03	PRKCD	5580
2	H04	JIK	51347
2	H05	ATR	545
2	H06	PKLR	5313
2	H07	CAMK2A	815
2	H08	PAK7	57144
2	H09	KDR	3791
2	H10	VRK1	7443
2	H11	TAF1	6872
2	H12	EPHA6	285220
2	H13	CDK11	23097
2	H14	GUCY2C	2984
2	H15	SNARK	81788
2	H16	PNCK	139728
2	H17	SCYL1	57410
2	H18	VRK3	51231
2	H19	PRKAB2	5565
2	H20	PDGFRA	5156
2	H21	MGC4796	83931
2	H22	DDR1	780
2	H23		
2	H24		
2	I01		
2	I02		
2	I03	ADCK2	90956
2	I04	SRPK2	6733
2	I05	PI4K2B	55300
2	I06	CLK2	1196
2	I07	TRIB3	57761
2	I08	TGFBR2	7048
2	I09	FLJ23074	80122
2	I10	STK22B	23617
2	I11	HIPK2	28996
2	I12	GAK	2580
2	I13	PRPS1	5631
2	I14	RPS6KA2	6196
2	I15	CSNK1D	1453
2	I16	MAPK6	5597
2	I17	DYRK3	8444
2	I18	GRK7	131890
2	I19	TYK2	7297
2	I20	ADRBK1	156
2	I21	MYO3A	53904
2	I22	CDK10	8558
2	I23		
2	I24		
2	J01		
2	J02		
2	J03	STK32B	55351
2	J04	PTK9L	11344
2	J05	MAP3K7IP1	10454
2	J06	PIK3C2A	5286
2	J07	PRKR	5610
2	J08	STK32A	202374
2	J09	RIPK3	11035
2	J10	GTF2H1	2965
2	J11	ULK4	54986
2	J12	TOPK	55872
2	J13	SPHK2	56848
2	J14	ZAK	51776
2	J15	TESK1	7016
2	J16	PDK4	5166
2	J17	CSNK2B	1460
2	J18	CHUK	1147
2	J19	ERBB4	2066
2	J20	TPK1	27010
2	J21	PFKFB4	5210
2	J22	C14ORF20	283629
2	J23		
2	J24		
2	K01		
2	K02		
2	K03	SPHK1	8877
2	K04	CDKN1A	1026
2	K05	ASK	10926
2	K06	PANK2	80025
2	K07	PDGFRB	5159
2	K08	EPHA3	2042
2	K09	FGR	2268
2	K10	PYCS	5832
2	K11	ROR1	4919
2	K12	IHPK1	9807
2	K13	CRK7	51755
2	K14	BRD4	23476
2	K15	CDKN1B	1027
2	K16	TEC	7006
2	K17	PACSIN1	29993
2	K18	FRDA	2395
2	K19	DAPK3	1613
2	K20	PRPS2	5634
2	K21	PIK3R1	5295
2	K22	AK5	26289
2	K23		
2	K24		
2	L01		
2	L02		
2	L03	PKMYT1	9088
2	L04	PIM3	415116
2	L05	PACE-1	57147
2	L06	LMTK3	114783
2	L07	IKBKB	3551
2	L08	CHEK2	11200
2	L09	MAP3K13	9175
2	L10	JAK1	3716
2	L11	CAMK1D	57118
2	L12	EIF2AK3	9451
2	L13	IRAK3	11213
2	L14	PIK3C3	5289
2	L15	MOS	4342
2	L16	ROCK2	9475
2	L17	PIP5K2B	8396
2	L18	PIK3C2B	5287
2	L19	STK4	6789
2	L20	SGK	6446
2	L21	BAIAP1	9223
2	L22	CLK3	1198
2	L23		
2	L24		
2	M01		
2	M02		
2	M03	PRKY	5616
2	M04	MAST2	23139
2	M05	MAP3K1	4214
2	M06	CDK5R1	8851
2	M07	ZAP70	7535
2	M08	WEE1	7465
2	M09	STK23	26576
2	M10	CDK6	1021
2	M11	PTK7	5754
2	M12	CDKN2D	1032
2	M13	RPS6KL1	83694
2	M14	PRKCQ	5588
2	M15	RPS6KA6	27330
2	M16	PRKAG2	51422
2	M17	SRPK1	6732
2	M18	MAP3K3	4215
2	M19	PRKACA	5566
2	M20	FGFRL1	53834
2	M21	PTK2B	2185
2	M22	NME1	4830
2	M23		
2	M24		
2	N01		
2	N02		
2	N03	SLK	9748
2	N04	PXK	54899
2	N05	CDKN1C	1028
2	N06	HUNK	30811
2	N07	PIP5K1C	23396
2	N08	MAP4K1	11184
2	N09	PFKL	5211
2	N10	PCTK2	5128
2	N11	PCK1	5105
2	N12	INSR	3643
2	N13	CDK9	1025
2	N14	HIPK4	147746
2	N15	FGFR4	2264
2	N16	SIK2	23235
2	N17	CRKL	1399
2	N18	MET	4233
2	N19	RPS6KA5	9252
2	N20	FYN	2534
2	N21	STK32C	282974
2	N22	DKFZP434C131	25989
2	N23		
2	N24		
2	O01		
2	O02		
2	O03	MERTK	10461
2	O04	TNK1	8711
2	O05	CERK	64781
2	O06	STK29	9024
2	O07	NUCKS	64710
2	O08	NTRK3	4916
2	O09	CIT	11113
2	O10	LMTK2	22853
2	O11	CDKL4	344387
2	O12	DTYMK	1841
2	O13	KIAA2002	79834
2	O14	PIK3R4	30849
2	O15	OSR1	9943
2	O16	GCK	2645
2	O17	RAGE	5891
2	O18	EPHB2	2048
2	O19	BMPR2	659
2	O20	SGKL	23678
2	O21	NRBP2	340371
2	O22	DLG3	1741
2	O23		
2	O24		
2	P01		
2	P02		
2	P03	PRKD2	25865
2	P04	SAST	22983
2	P05	CAMKK1	84254
2	P06	NEK2	4751
2	P07	LYK5	92335
2	P08	MAPKAPK5	8550
2	P09	COMMD3	23412
2	P10	NRK	203447
2	P11	TK2	7084
2	P12	PFKFB2	5208
2	P13	CSNK2A1	1457
2	P14	MARK4	57787
2	P15	SRMS	6725
2	P16	EPHB1	2047
2	P17	MAP4K2	5871
2	P18	MAGI-3	260425
2	P19	KIAA1811	84446
2	P20	SSTK	83983
2	P21	PDK1	5163
2	P22	IKBKG	8517
2	P23		
2	P24		
3	A01		
3	A02		
3	A03	N4BP2	55728
3	A04		
3	A05	NEK1	4750
3	A06		
3	A07	XYLB	9942
3	A08		
3	A09	RP6-213H19.1	51765
3	A10		
3	A11	SMG1	23049
3	A12		
3	A13	IHPK2	51447
3	A14		
3	A15	ILK	3611
3	A16		
3	A17	PSKH2	85481
3	A18		
3	A19	NRBP	29959
3	A20		
3	A21	ULK1	8408
3	A22		
3	A23		
3	A24		
3	B01		
3	B02		
3	B03		
3	B04		
3	B05		
3	B06		
3	B07		
3	B08		
3	B09		
3	B10		
3	B11		
3	B12		
3	B13		
3	B14		
3	B15		
3	B16		
3	B17		
3	B18		
3	B19		
3	B20		
3	B21		
3	B22		
3	B23		
3	B24		
3	C01		
3	C02		
3	C03	PRKCA	5578
3	C04		
3	C05	CDKL2	8999
3	C06		
3	C07	FES	2242
3	C08		
3	C09	PRKAB1	5564
3	C10		
3	C11	HAK	115701
3	C12		
3	C13	CDK2	1017
3	C14		
3	C15	MAP2K2	5605
3	C16		
3	C17	MAPK10	5602
3	C18		
3	C19	CALM2	805
3	C20		
3	C21	KHK	3795
3	C22		
3	C23		
3	C24		
3	D01		
3	D02		
3	D03		
3	D04		
3	D05		
3	D06		
3	D07		
3	D08		
3	D09		
3	D10		
3	D11		
3	D12		
3	D13		
3	D14		
3	D15		
3	D16		
3	D17		
3	D18		
3	D19		
3	D20		
3	D21		
3	D22		
3	D23		
3	D24		
3	E01		
3	E02		
3	E03	GUK1	2987
3	E04		
3	E05	CKM	1158
3	E06		
3	E07	MAP4K3	8491
3	E08		
3	E09	PRKDC	5591
3	E10		
3	E11	PRPF4B	8899
3	E12		
3	E13	RIOK3	8780
3	E14		
3	E15	KIAA1765	85443
3	E16		
3	E17	EXOSC10	5394
3	E18		
3	E19	PGK1	5230
3	E20		
3	E21	AK3L1	50808
3	E22		
3	E23		
3	E24		
3	F01		
3	F02		
3	F03		
3	F04		
3	F05		
3	F06		
3	F07		
3	F08		
3	F09		
3	F10		
3	F11		
3	F12		
3	F13		
3	F14		
3	F15		
3	F16		
3	F17		
3	F18		
3	F19		
3	F20		
3	F21		
3	F22		
3	F23		
3	F24		
3	G01		
3	G02		
3	G03	PLK3	1263
3	G04		
3	G05	EFNB3	1949
3	G06		
3	G07	EPHB3	2049
3	G08		
3	G09	PRKCB1	5579
3	G10		
3	G11	DGKD	8527
3	G12		
3	G13	EPHB4	2050
3	G14		
3	G15	MGC45428	166614
3	G16		
3	G17	CHKB	1120
3	G18		
3	G19	PRKAR2B	5577
3	G20		
3	G21	PCK2	5106
3	G22		
3	G23		
3	G24		
3	H01		
3	H02		
3	H03		
3	H04		
3	H05		
3	H06		
3	H07		
3	H08		
3	H09		
3	H10		
3	H11		
3	H12		
3	H13		
3	H14		
3	H15		
3	H16		
3	H17		
3	H18		
3	H19		
3	H20		
3	H21		
3	H22		
3	H23		
3	H24		
3	I01		
3	I02		
3	I03	AMHR2	269
3	I04		
3	I05	DUSP21	63904
3	I06		
3	I07	CDKN2B	1030
3	I08		
3	I09	DLG1	1739
3	I10		
3	I11	C9ORF96	169436
3	I12		
3	I13	MAP2K1	5604
3	I14		
3	I15	GALK2	2585
3	I16		
3	I17	NTRK1	4914
3	I18		
3	I19	NME4	4833
3	I20		
3	I21	BRAF	673
3	I22		
3	I23		
3	I24		
3	J01		
3	J02		
3	J03		
3	J04		
3	J05		
3	J06		
3	J07		
3	J08		
3	J09		
3	J10		
3	J11		
3	J12		
3	J13		
3	J14		
3	J15		
3	J16		
3	J17		
3	J18		
3	J19		
3	J20		
3	J21		
3	J22		
3	J23		
3	J24		
3	K01		
3	K02		
3	K03	PASK	23178
3	K04		
3	K05	HUS1	3364
3	K06		
3	K07	TLK1	9874
3	K08		
3	K09	PFKM	5213
3	K10		
3	K11	PRKAA2	5563
3	K12		
3	K13	ITPKB	3707
3	K14		
3	K15	MPP3	4356
3	K16		
3	K17	CDK3	1018
3	K18		
3	K19	PDPK1	5170
3	K20		
3	K21	C10ORF89	118672
3	K22		
3	K23		
3	K24		
3	L01		
3	L02		
3	L03		
3	L04		
3	L05		
3	L06		
3	L07		
3	L08		
3	L09		
3	L10		
3	L11		
3	L12		
3	L13		
3	L14		
3	L15		
3	L16		
3	L17		
3	L18		
3	L19		
3	L20		
3	L21		
3	L22		
3	L23		
3	L24		
3	M01		
3	M02		
3	M03	EPHA4	2043
3	M04		
3	M05	DCAMKL1	9201
3	M06		
3	M07	GK2	2712
3	M08		
3	M09	KUB3	91419
3	M10		
3	M11	TRPM7	54822
3	M12		
3	M13	MYLK	4638
3	M14		
3	M15	GUCY2F	2986
3	M16		
3	M17	GSK3B	2932
3	M18		
3	M19	MST1R	4486
3	M20		
3	M21	AK2	204
3	M22		
3	M23		
3	M24		
3	N01		
3	N02		
3	N03		
3	N04		
3	N05		
3	N06		
3	N07		
3	N08		
3	N09		
3	N10		
3	N11		
3	N12		
3	N13		
3	N14		
3	N15		
3	N16		
3	N17		
3	N18		
3	N19		
3	N20		
3	N21		
3	N22		
3	N23		
3	N24		
3	O01		
3	O02		
3	O03	NEK7	140609
3	O04		
3	O05	PRKWNK1	65125
3	O06		
3	O07	TSKS	60385
3	O08		
3	O09	STK19	8859
3	O10		
3	O11	MAPK12	6300
3	O12		
3	O13	GALK1	2584
3	O14		
3	O15	IPMK	253430
3	O16		
3	O17	PANK4	55229
3	O18		
3	O19	PRKACG	5568
3	O20		
3	O21	FLT1	2321
3	O22		
3	O23		
3	O24		
3	P01		
3	P02		
3	P03		
3	P04		
3	P05		
3	P06		
3	P07		
3	P08		
3	P09		
3	P10		
3	P11		
3	P12		
3	P13		
3	P14		
3	P15		
3	P16		
3	P17		
3	P18		
3	P19		
3	P20		
3	P21		
3	P22		
3	P23		
3	P24		
